Date,Open,High,Low,Close,Adj Close,Volume,Adj Open,Adj High,Adj Low
2024-12-17,33.37,33.38,29.97,30.17,30.17,1641600,33.37,33.38,29.97
2024-12-16,28.2,35.5,28.0,32.69,32.69,3836700,28.2,35.5,28.0
2024-12-13,28.5,29.0,27.52,27.62,27.62,495300,28.5,29.0,27.52
2024-12-12,29.76,30.02,27.0,28.15,28.15,923200,29.76,30.02,27.0
2024-12-11,29.92,30.39,29.38,29.8,29.8,354100,29.92,30.39,29.38
2024-12-10,30.24,30.83,28.91,29.46,29.46,592200,30.24,30.83,28.91
2024-12-09,32.78,32.89,29.66,30.24,30.24,850000,32.78,32.89,29.66
2024-12-06,31.52,33.55,31.47,32.59,32.59,719900,31.52,33.55,31.47
2024-12-05,31.71,31.94,29.88,31.57,31.57,1046200,31.71,31.94,29.88
2024-12-04,31.96,32.82,31.56,32.06,32.06,828900,31.96,32.82,31.56
2024-12-03,31.34,32.26,30.89,31.96,31.96,495600,31.34,32.26,30.89
2024-12-02,33.0,33.98,31.27,31.54,31.54,885900,33.0,33.98,31.27
2024-11-29,32.6,33.47,32.37,33.0,33.0,375600,32.6,33.47,32.37
2024-11-27,33.16,33.94,32.07,32.2,32.2,609900,33.16,33.94,32.07
2024-11-26,32.2,32.57,31.53,32.08,32.08,328300,32.2,32.57,31.53
2024-11-25,32.38,33.0,31.56,31.98,31.98,475400,32.38,33.0,31.56
2024-11-22,32.71,32.72,31.76,32.2,32.2,352900,32.71,32.72,31.76
2024-11-21,32.37,32.8,31.71,31.98,31.98,377000,32.37,32.8,31.71
2024-11-20,31.44,32.08,31.06,31.95,31.95,346000,31.44,32.08,31.06
2024-11-19,30.37,31.72,29.96,31.51,31.51,465400,30.37,31.72,29.96
2024-11-18,31.05,31.18,29.82,30.79,30.79,949300,31.05,31.18,29.82
2024-11-15,33.01,33.21,31.38,31.44,31.44,933100,33.01,33.21,31.38
2024-11-14,32.4,33.99,32.4,32.87,32.87,536100,32.4,33.99,32.4
2024-11-13,35.45,35.79,33.0,33.26,33.26,676900,35.45,35.79,33.0
2024-11-12,35.24,35.99,34.0,35.2,35.2,805300,35.24,35.99,34.0
2024-11-11,37.0,38.12,35.21,35.33,35.33,710800,37.0,38.12,35.21
2024-11-08,34.96,36.7,34.79,36.38,36.38,626600,34.96,36.7,34.79
2024-11-07,36.75,37.0,34.39,35.43,35.43,1030700,36.75,37.0,34.39
2024-11-06,37.0,37.29,35.66,36.62,36.62,1299700,37.0,37.29,35.66
2024-11-05,34.58,36.09,33.64,35.94,35.94,954800,34.58,36.09,33.64
2024-11-04,33.94,35.14,33.07,34.48,34.48,878800,33.94,35.14,33.07
2024-11-01,33.71,34.12,33.48,34.0,34.0,445500,33.71,34.12,33.48
2024-10-31,33.0,34.09,32.32,33.57,33.57,474100,33.0,34.09,32.32
2024-10-30,34.06,34.2,33.22,33.32,33.32,511800,34.06,34.2,33.22
2024-10-29,33.88,34.88,33.86,34.45,34.45,623900,33.88,34.88,33.86
2024-10-28,35.41,35.55,33.94,34.04,34.04,770200,35.41,35.55,33.94
2024-10-25,35.03,35.74,34.95,34.98,34.98,497100,35.03,35.74,34.95
2024-10-24,35.0,36.01,34.54,34.62,34.62,704700,35.0,36.01,34.54
2024-10-23,34.37,34.88,33.75,34.81,34.81,560100,34.37,34.88,33.75
2024-10-22,34.5,35.31,34.2,34.42,34.42,597700,34.5,35.31,34.2
2024-10-21,35.19,35.56,34.11,34.85,34.85,756800,35.19,35.56,34.11
2024-10-18,35.07,36.0,34.43,35.57,35.57,1314200,35.07,36.0,34.43
2024-10-17,35.21,36.66,34.25,35.51,35.51,1098100,35.21,36.66,34.25
2024-10-16,33.15,35.29,32.87,35.03,35.03,1568600,33.15,35.29,32.87
2024-10-15,31.51,33.14,31.33,32.99,32.99,1061100,31.51,33.14,31.33
2024-10-14,31.86,33.13,31.75,31.82,31.82,1072200,31.86,33.13,31.75
2024-10-11,29.99,32.32,29.75,31.92,31.92,1566200,29.99,32.32,29.75
2024-10-10,29.7,30.76,29.66,29.99,29.99,1243900,29.7,30.76,29.66
2024-10-09,28.9,30.38,28.6,30.33,30.33,1587800,28.9,30.38,28.6
2024-10-08,27.65,29.07,27.5,28.49,28.49,1017600,27.65,29.07,27.5
2024-10-07,27.59,28.02,26.8,27.61,27.61,591900,27.59,28.02,26.8
2024-10-04,26.8,28.56,26.66,28.4,28.4,1377300,26.8,28.56,26.66
2024-10-03,27.11,27.37,26.11,26.63,26.63,519900,27.11,27.37,26.11
2024-10-02,27.3,27.89,26.54,27.26,27.26,1113300,27.3,27.89,26.54
2024-10-01,26.99,27.73,26.34,27.31,27.31,1748600,26.99,27.73,26.34
2024-09-30,26.09,26.95,25.86,26.69,26.69,750100,26.09,26.95,25.86
2024-09-27,26.01,26.91,25.65,26.09,26.09,769000,26.01,26.91,25.65
